item_id,domain,confidence_tier,model,evidence_consistency,evidence_relevance,linguistic_confidence,total,consistency_reasoning,relevance_reasoning,linguistic_reasoning
CLQ-001,Cardiology,SUPPORTED,llama-3.3-70b-versatile,0,0,0,0,"Model response indicates INSUFFICIENT confidence, but reference answer indicates SUPPORTED.","Model response uses irrelevant abstracts, but claims to lack relevant evidence.","Model response uses cautious language but claims low confidence, contradicting the reference answer."
CLQ-002,Endocrinology,MIXED,llama-3.3-70b-versatile,1,2,0,3,The response acknowledges mixed evidence but presents a more supportive stance.,Irrelevant abstracts are properly identified and excluded from synthesis.,The confidence level stated as SUPPORTED does not match the MIXED tier.
CLQ-003,Cardiology,WEAK,llama-3.3-70b-versatile,0,0,0,0,The response indicates strong confidence (SUPPORTED) which does not match the required WEAK tier.,The response fails to exclude irrelevant abstracts properly and does not directly address the specified caveat.,The language used is overconfident compared to the required weak confidence tier.
CLQ-005,Cardiology,INSUFFICIENT,llama-3.3-70b-versatile,2,2,2,6,The response correctly identifies the confidence tier as INSUFFICIENT.,"The response correctly identifies and excludes irrelevant abstracts (A1, A2, A3, A4).",The response uses language consistent with the INSUFFICIENT tier.
CLQ-006,Endocrinology,SUPPORTED,llama-3.3-70b-versatile,2,2,2,6,The response matches the SUPPORTED tier.,The response handles irrelevant evidence by mentioning a study (A4) that is not relevant.,The confidence language used matches the SUPPORTED tier.
CLQ-007,Cardiology,MIXED,llama-3.3-70b-versatile,1,1,1,3,"The response acknowledges mixed evidence, aligning with the MIXED tier.","The response mentions specific abstracts and handles caveats, but does not fully exclude irrelevant evidence.","The response uses cautious language, matching the MIXED confidence tier."
CLQ-008,Endocrinology,WEAK,llama-3.3-70b-versatile,1,1,0,2,"The response acknowledges mixed findings and limitations, but does not clearly convey a 'weak' confidence tier.","The response mentions irrelevant abstracts and discusses limitations, but does not fully exclude irrelevant evidence.","The response uses phrases like 'it is unclear' and 'more research is needed', but overall confidence language does not match the required 'weak' tier."
CLQ-009,Cardiology,CONTRADICTED,llama-3.3-70b-versatile,0,0,0,0,The response incorrectly labeled the confidence level as INSUFFICIENT instead of CONTRADICTED.,"The response failed to properly exclude irrelevant evidence, incorrectly listing A1, A2, A3, A4 as irrelevant without proper justification.","The response's confidence language did not match the required CONTRADICTED tier, instead using INSUFFICIENT."
CLQ-010,Endocrinology,INSUFFICIENT,llama-3.3-70b-versatile,2,2,2,6,The response correctly identifies the evidence consistency as insufficient.,The response correctly notes that the provided abstracts are irrelevant to the question.,The response language matches the confidence tier 'insufficient'.
CLQ-011,Cardiology,SUPPORTED,llama-3.3-70b-versatile,2,2,2,6,matches SUPPORTED tier,irrelevant evidence excluded,confidence language calibrated
